Date Time (UTC)	Power Setpoint (mW)	Laser Display (mW)	Power Meter Mean (W)	Power Meter Std (W)	Keithley Mean (V)	Keithley Std (V)	Raspberry Mean (ADU)	Raspberry Std (ADU)	ND Filter	AoI (degree)	PD Temp (ºC)	Ambient Temp (ºC)	Ambient RH (%)
3/15/2023 14:13:38 	0.000000000	1.114516616	NaN	-0.000000000	-0.000002195	0.000000201	0.008818182	0.018635011	1	4	22.8	23.2	29
3/15/2023 14:14:01 	0.100000000	1.120567203	NaN	-0.000000000	0.000003834	0.000000163	0.003772727	0.001252271	1	4	22.8	23.2	29
3/15/2023 14:14:24 	0.200000000	1.127827883	NaN	-0.000000000	0.000049531	0.000000205	0.006636364	0.001467837	1	4	22.8	23.0	31
3/15/2023 14:14:47 	0.300000000	1.470290661	NaN	-0.000000000	0.002356202	0.000012528	0.155318182	0.002358736	1	4	22.8	23.0	31
3/15/2023 14:15:09 	0.400000000	1.596142650	NaN	-0.000000000	0.003136906	0.000027096	0.208772727	0.001310794	1	4	22.8	23.0	31
3/15/2023 14:15:32 	0.500000000	1.728045225	NaN	-0.000000000	0.003926811	0.000036437	0.260727273	0.002295252	1	4	22.8	23.0	31
3/15/2023 14:15:55 	0.600000000	1.840586066	NaN	-0.000000000	0.004693208	0.000031977	0.312272727	0.002523526	1	4	22.8	23.0	31
3/15/2023 14:16:17 	0.700000000	1.956757188	NaN	-0.000000000	0.005488583	0.000037572	0.368045455	0.002832442	1	4	22.8	23.2	31
3/15/2023 14:16:40 	0.800000000	2.065667629	NaN	-0.000000000	0.006232926	0.000047021	0.419772727	0.003913845	1	4	22.8	23.2	31
3/15/2023 14:17:03 	0.900000000	2.180628538	NaN	-0.000000000	0.006973297	0.000059072	0.470318182	0.003195878	1	4	22.8	23.2	31
3/15/2023 14:17:26 	1.000000000	2.301640034	NaN	-0.000000000	0.007762817	0.000061603	0.520272727	0.004088787	1	4	22.8	23.2	31
3/15/2023 14:17:49 	1.100000000	2.415390968	NaN	-0.000000000	0.008554587	0.000061843	0.578590909	0.002998484	1	4	22.8	23.2	31
3/15/2023 14:18:11 	1.200000000	2.535192490	NaN	-0.000000000	0.009298389	0.000068194	0.631545455	0.004617654	1	4	22.8	23.2	31
3/15/2023 14:18:34 	1.300000000	2.646522999	NaN	-0.000000000	0.010070480	0.000094968	0.683500000	0.003667424	1	4	22.8	23.2	31
3/15/2023 14:18:57 	1.400000000	2.757853746	NaN	-0.000000000	0.010758654	0.000113114	0.732090909	0.006628794	1	4	22.8	23.2	31
3/15/2023 14:19:26 	1.500000000	2.869184494	NaN	-0.000000000	0.011610260	0.000127936	0.786909091	0.004726617	1	4	22.8	23.2	31
3/15/2023 14:19:48 	1.600000000	2.990195990	NaN	-0.000000000	0.012310340	0.000159545	0.839590909	0.005894142	1	4	22.8	23.2	31
3/15/2023 14:20:11 	1.700000000	3.117258072	NaN	-0.000000000	0.013144912	0.000130619	0.900272727	0.007403930	1	4	22.8	23.2	31
3/15/2023 14:20:34 	1.800000000	3.221328020	NaN	-0.000000000	0.013815028	0.000150133	0.944000000	0.004031129	1	4	22.8	23.2	31
3/15/2023 14:20:56 	1.900000000	3.365331888	NaN	-0.000000000	0.014731797	0.000151318	1.004227273	0.006474425	1	4	22.8	23.2	31
3/15/2023 14:21:19 	2.000000000	3.479082823	NaN	-0.000000000	0.015552002	0.000172120	1.065681818	0.007379948	1	4	22.8	23.2	31
3/15/2023 14:21:42 	2.100000000	3.563790798	NaN	-0.000000000	0.016351332	0.000147922	1.106818182	0.003451614	1	4	22.8	23.2	31
3/15/2023 14:22:04 	2.200000000	3.698113680	NaN	-0.000000000	0.017120718	0.000144143	1.165954545	0.010743497	1	4	22.8	23.2	31
3/15/2023 14:22:27 	2.300000000	3.791292667	NaN	-0.000000000	0.017959256	0.000204701	1.223136364	0.007855224	1	4	22.8	23.2	31
3/15/2023 14:22:50 	2.400000000	3.920774937	NaN	-0.000000000	0.018706310	0.000148613	1.273818182	0.016815577	1	4	22.8	23.2	31
3/15/2023 14:23:13 	2.500000000	4.033315659	NaN	-0.000000000	0.019411934	0.000155182	1.326409091	0.011379407	1	4	22.8	23.2	31
3/15/2023 14:23:35 	2.600000000	4.132544994	NaN	-0.000000000	0.020181857	0.000110288	1.377954545	0.009776130	1	4	22.8	23.2	31
3/15/2023 14:23:58 	2.700000000	4.254766941	NaN	-0.000000000	0.021040066	0.000090401	1.430363636	0.016078077	1	4	22.8	23.2	31
3/15/2023 14:24:21 	2.800000000	4.372148037	NaN	-0.000000000	0.021779379	0.000085995	1.481454545	0.012164404	1	4	22.8	23.2	31
3/15/2023 14:24:44 	2.900000000	4.494369984	NaN	-0.000000000	0.022602378	0.000128317	1.549681818	0.010013173	1	4	22.8	23.2	31
3/15/2023 14:25:06 	3.000000000	4.603280067	NaN	-0.000000000	0.023334845	0.000136732	1.604318182	0.013433675	1	4	22.8	23.2	31
3/15/2023 14:25:29 	3.100000000	4.708560467	NaN	-0.000000000	0.024150958	0.000212798	1.658545455	0.014105769	1	4	22.8	23.2	31
3/15/2023 14:25:52 	3.200000000	4.833202362	NaN	-0.000000000	0.024882979	0.000168465	1.708227273	0.013964891	1	4	22.8	23.2	31
3/15/2023 14:26:14 	3.300000000	4.934852123	NaN	-0.000000000	0.025504377	0.000126937	1.750772727	0.007051112	1	4	22.8	23.2	31
3/15/2023 14:26:38 	3.400000000	5.048603058	NaN	-0.000000000	0.026329544	0.000188732	1.809409091	0.012234824	1	4	22.8	23.2	31
3/15/2023 14:27:01 	3.500000000	5.180505276	NaN	-0.000000000	0.027137737	0.000134904	1.852181818	0.017174505	1	4	22.8	23.2	31
3/15/2023 14:27:23 	3.600000000	5.294256210	NaN	-0.000000000	0.027838947	0.000208440	1.910090909	0.020875606	1	4	22.8	23.2	31
3/15/2023 14:27:46 	3.700000000	5.420108318	NaN	-0.000000000	0.028660907	0.000283481	1.960181818	0.026525717	1	4	22.8	23.2	31
3/15/2023 14:28:09 	3.800000000	5.529018879	NaN	-0.000000000	0.029326564	0.000246070	1.995545455	0.038200428	1	4	22.8	23.2	31
3/15/2023 14:28:32 	3.900000000	5.660921574	NaN	-0.000000000	0.030146958	0.000269087	2.039500000	0.016835973	1	4	22.8	23.2	31
3/15/2023 14:28:55 	4.000000000	5.774672508	NaN	-0.000000000	0.030958705	0.000272696	2.047500000	0.000000000	1	4	22.8	23.2	31
3/15/2023 14:29:17 	4.100000000	5.893263817	NaN	-0.000000000	0.031896953	0.000253559	2.047500000	0.000000000	1	4	22.8	23.2	31
3/15/2023 14:29:40 	4.200000000	6.004594326	NaN	-0.000000000	0.032452615	0.000349995	2.047500000	0.000000000	1	4	22.8	23.2	31
3/15/2023 14:30:03 	4.300000000	6.115924835	NaN	-0.000000000	0.033311288	0.000369151	2.047500000	0.000000000	1	4	22.8	23.2	31
3/15/2023 14:30:25 	4.400000000	6.267189503	NaN	-0.000000000	0.034068237	0.000440100	2.047500000	0.000000000	1	4	22.8	23.2	30
3/15/2023 14:30:48 	4.500000000	6.318014145	NaN	-0.000000000	0.035004315	0.000361906	2.047500000	0.000000000	1	4	22.8	23.2	30
3/15/2023 14:31:11 	4.600000000	6.501951694	NaN	-0.000000000	0.035840134	0.000331862	2.047500000	0.000000000	1	4	22.8	23.2	30
3/15/2023 14:31:33 	4.700000000	6.626593590	NaN	-0.000000000	0.036377461	0.000274567	2.047500000	0.000000000	1	4	22.8	23.2	30
3/15/2023 14:31:56 	4.800000000	6.763336658	NaN	-0.000000000	0.037436159	0.000314688	2.047500000	0.000000000	1	4	22.9	23.2	30
3/15/2023 14:32:19 	4.900000000	6.848044872	NaN	-0.000000000	0.038232461	0.000232001	2.047500000	0.000000000	1	4	22.9	23.2	30
3/15/2023 14:32:42 	5.000000000	6.956955433	NaN	-0.000000000	0.038718481	0.000186470	2.047500000	0.000000000	1	4	22.9	23.2	30
3/15/2023 14:33:04 	5.100000000	7.064655781	NaN	-0.000000000	0.039350839	0.000236894	2.047500000	0.000000000	1	4	22.9	23.2	30
3/15/2023 14:45:32 	0.000000000	1.115726709	NaN	-0.000000000	-0.000002411	0.000000178	0.009000000	0.018411953	1	6	22.9	23.2	30
3/15/2023 14:45:54 	0.100000000	1.118146896	NaN	-0.000000000	0.000003678	0.000000191	0.003727273	0.001272078	1	6	22.9	23.2	30
3/15/2023 14:46:17 	0.200000000	1.125407577	NaN	-0.000000000	0.000049442	0.000000161	0.006590909	0.001480172	1	6	22.9	23.2	31
3/15/2023 14:46:40 	0.300000000	1.486022115	NaN	-0.000000000	0.002452861	0.000050279	0.164636364	0.003241072	1	6	22.9	23.2	31
3/15/2023 14:47:03 	0.400000000	1.622765183	NaN	-0.000000000	0.003239577	0.000045233	0.217590909	0.002782249	1	6	22.9	23.2	31
3/15/2023 14:47:25 	0.500000000	1.746196985	NaN	-0.000000000	0.004041967	0.000044717	0.276227273	0.002306118	1	6	22.9	23.2	31
3/15/2023 14:47:48 	0.600000000	1.857527614	NaN	-0.000000000	0.004796072	0.000045385	0.321909091	0.002364510	1	6	22.9	23.2	31
